id	H vs not-H
AMR_3786	0
AMR_3793	0
AMR_3862	0
AMR_3967	0
AMR_3983	0
AMR_4016	0
AMR_4031	0
AMR_4034	0
AMR_4041	0
AMR_4122	0
AMR_4380	0
AMR_445	0
AMR_4493	0
AMR_4630	0
AMR_4788	0
AMR_4814	0
AMR_4828	0
AMR_4992	0
AMR_506	0
AMR_5192	0
AMR_5223	0
AMR_5234	0
AMR_5334	0
AMR_5346	0
AMR_5494	0
AMR_5609	0
AMR_5644	0
AMR_6104	0
AMR_6125	0
AMR_6169	0
AMR_6220	0
AMR_6396	0
AMR_6423	0
AMR_6639	0
AMR_6771	0
AMR_6788	0
AMR_6791	0
AMR_6829	0
AMR_6845	0
AMR_6915	0
AMR_6938	0
AMR_7015	0
AMR_7071	0
AMR_7081	0
AMR_7108	0
AMR_7200	0
AMR_7235	0
AMR_7251	0
AMR_7382	0
AMR_7432	0
AMR_7437	0
AMR_7453	0
AMR_7493	0
AMR_7537	0
AMR_7654	0
AMR_7904	0
AMR_7906	0
AMR_7964	0
AMR_7995	0
AMR_81	0
AMR_8127	0
AMR_8153	0
AMR_8162	0
AMR_8167	0
AMR_827	0
AMR_8271	0
AMR_8291	0
AMR_8499	0
AMR_8503	0
AMR_8544	0
AMR_8665	0
AMR_8693	0
AMR_8695	0
AMR_8716	0
AMR_8723	0
AMR_8825	0
AMR_8860	0
AMR_8933	0
AMR_9100	0
AMR_9110	0
AMR_9345	0
AMR_9440	0
AMR_9661	0
AMR_9738	0
AMR_9803	0
AMR_989	0
AMR_9894	0
AMR_9904	0
AMR_9949	0
AMR_9968	0
CHSK_I_138	0
CHSK_I_142	0
CHSK_I_1770	0
CHSK_I_178	0
CHSK_I_181	0
CHSK_I_185	0
CHSK_I_186	0
CHSK_I_189	0
CHSK_I_190	0
CHSK_I_199	0
CHSK_I_206	0
CHSK_I_56	0
CHSK_I_67	0
Cry_109	0
Cry_160	0
Cry_236	0
Cry_238	0
Cry_263	0
Cry_305	0
Cry_487	0
Cry_491	0
Cry_497	0
Cry_546	0
Cry_58	0
Cry_68	0
Cry_69	0
Cry_74	0
31_17_1	0
33_5_1	0
33_6_1	0
CAMPY2528_2012_66	0
CAMPY2528_2012_89	0
CAMPY2528_2012_238	0
CAMPY2528_2012_517	0
CAMPY2528_2012_519	0
AMR_1272	0
AMR_6250	0
AMR_1428	0
AMR_5082	0
CI_1143	0
AMR_2451	0
AMR_2865	0
AMR_3215	0
AMR_341	0
AMR_385	0
AMR_4201	0
AMR_5024	0
AMR_5213	0
AMR_5385	0
AMR_5388	0
AMR_570	0
AMR_5754	0
AMR_584	0
AMR_590	0
AMR_6131	0
AMR_691	0
AMR_711	0
AMR_7120	0
AMR_7815	0
AMR_7961	0
AMR_9085	0
AMR_956	0
AMR_9823	0
